"year","usd","cntry_key"
1980,4597.3821991844,"Aruba"
1981,4805.45654309917,"Aruba"
1982,5036.1042122557,"Aruba"
1983,5223.85106360942,"Aruba"
1984,5569.17791507149,"Aruba"
1985,5722.73402688622,"Aruba"
1986,5876.13999617011,"Aruba"
1987,6158.60063764357,"Aruba"
1988,6467.55273794388,"Aruba"
1989,6882.092166609,"Aruba"
1990,7076.18581570393,"Aruba"
1991,7479.35842541137,"Aruba"
1992,7562.94094854895,"Aruba"
1993,7674.82310032103,"Aruba"
1994,7958.09196663526,"Aruba"
1995,8408.15719904663,"Aruba"
1996,8792.85182246709,"Aruba"
1997,9207.7033114623,"Aruba"
1998,9519.13625532851,"Aruba"
1999,9794.13297759219,"Aruba"
2000,10588.5796015783,"Aruba"
2001,10871.947158487,"Aruba"
2002,11263.6703828934,"Aruba"
2003,11701.7929758315,"Aruba"
2004,12494.8402073405,"Aruba"
2005,13125.1242220494,"Aruba"
2006,14157.6460617815,"Aruba"
2007,15007.0725450963,"Aruba"
2008,15533.2349056156,"Aruba"
2009,15043.1740258464,"Aruba"
2010,15492.881720692,"Aruba"
2011,16262.3514222776,"Aruba"
2012,16775.5263550434,"Aruba"
