"sector","year","value","cntry_key"
"cf",1990,80419.4671,"Aruba"
"cf",1994,195598.9546,"Aruba"
"cf",1995,181352.22196,"Aruba"
"cf",1996,98209.1814,"Aruba"
"cf",1997,77810.2481333333,"Aruba"
"cf",1998,91325.4299363636,"Aruba"
"cf",1999,74263.713,"Aruba"
"cf",2000,72805.9786086956,"Aruba"
"cf",2001,29590.949304,"Aruba"
"cf",2002,63874.5051921053,"Aruba"
"cf",2003,222055.606822549,"Aruba"
"cf",2004,199055.10889902,"Aruba"
"cf",2005,226121.731171,"Aruba"
"cf",2006,241445.098115789,"Aruba"
"cf",2007,255510.189907692,"Aruba"
"cf",2008,281560.366879518,"Aruba"
"mar",1993,233477.5526518,"Aruba"
"mar",1995,0,"Aruba"
"mar",1996,28396.100857895,"Aruba"
"mar",1997,29595.294933905,"Aruba"
"mar",1998,7494.79030687057,"Aruba"
"mar",1999,7288.82234370875,"Aruba"
"mar",2000,21648.0701499567,"Aruba"
"mar",2001,128858.813303486,"Aruba"
"mar",2002,81998.9003379218,"Aruba"
"mar",2003,146470.883705151,"Aruba"
"mar",2004,134729.728442988,"Aruba"
"mar",2005,68089.8078430783,"Aruba"
"mar",2006,61006.3910489313,"Aruba"
"mar",2007,75664.7138025543,"Aruba"
"mar",2008,84442.3277808416,"Aruba"
"mmw",1998,51.1036021505376,"Aruba"
"mmw",2003,0,"Aruba"
"mmw",2004,579.606666666667,"Aruba"
"mmw",2005,27.2519230769231,"Aruba"
"mmw",2006,76.7063888888889,"Aruba"
"mmw",2007,3.83,"Aruba"
"mmw",2008,70.1767222222222,"Aruba"
"tour",2005,278378.170487879,"Aruba"
"tour",2006,284449.82873645,"Aruba"
"tour",2007,288186.971455651,"Aruba"
"tour",2008,283234.551160341,"Aruba"
"tour",2009,277859.271223583,"Aruba"
"tour",2010,272385.722654017,"Aruba"
"wte",2003,109.04,"Aruba"
"wte",2004,109.04,"Aruba"
"wte",2005,58.8675,"Aruba"
"wte",2006,58.8675,"Aruba"
"wte",2007,58.8675,"Aruba"
"wte",2008,58.8675,"Aruba"
"wte",2009,8.695,"Aruba"
"wte",2010,8.695,"Aruba"
