"cntry_key","year","jobs"
"Aruba",1990,"71836.1181476984"
"Aruba",1991,"73170.9401586996"
"Aruba",1992,"74292.4875762689"
"Aruba",1993,"75536.2337583124"
"Aruba",1994,"76724.8075597787"
"Aruba",1995,"77806.6121993195"
"Aruba",1996,"78868.5950041787"
"Aruba",1997,"79913.6714762835"
"Aruba",1998,"80816.8177596496"
"Aruba",1999,"81807.876447729"
"Aruba",2000,"82662.8099615461"
"Aruba",2001,"83957.7495316102"
"Aruba",2002,"85275.8546508813"
"Aruba",2003,"86675.6214392239"
"Aruba",2004,"87933.7054557469"
"Aruba",2005,"89763.3532414028"
"Aruba",2006,"91351.9677202171"
"Aruba",2007,"93412.5807953656"
"Aruba",2008,"95011.5715181726"
"Aruba",2009,"97254.7802172828"
"Aruba",2010,"98380.2010313189"
"Aruba",2011,"99651.8647374235"
"Aruba",2012,"100941.776007886"
