" ","score","status","future","trend","pressures","resilience"
"Index",68.48,,68.26,,,
"Food Provision",3.27,3,3.55,0,,
". Fisheries",3.27,3,3.55,0,14.8,70.28
". Mariculture",98.94,97.87,100,0.25,15.59,69.72
"Artisanal Fishing Opportunity",59.27,54.73,63.81,-0.03,15.22,70.75
"Natural Products",27.14,25.08,29.21,-0.01,16.89,69.32
"Carbon Storage",85.79,99.51,72.07,-0.61,23.69,64.79
"Coastal Protection",96.1,92.21,100,0.03,30.23,64.79
"Tourism & Recreation",100,100,100,0.21,45.44,79.12
"Coastal Livelihoods & Economies",100,100,100,0.78,,
". Livelihoods",100,100,100,0.56,19.35,43.98
". Economies",100,100,100,1,18.32,65.98
"Sense of Place",57.54,56.11,58.96,-0.14,,
". Iconic Species",61.11,62.22,59.99,-0.29,22.91,70.04
". Lasting Special Places",53.97,50,57.93,0,30.25,78.32
"Clean Waters",64.79,65.48,64.11,-0.11,62.27,79.12
"Biodiversity",90.88,90.88,90.87,-0.24,,
". Habitats",95.07,95.91,94.23,-0.29,20.91,74.62
". Species",86.68,85.86,87.51,-0.18,21.48,63.74
